mass [g],459,eprSpeed [mVps],500
time,eprVin,distance,
807,1489,116,
807,1501,115,
808,1514,117,
809,1526,113,
810,1538,117,
811,1550,113,
811,1563,114,
812,1575,113,
813,1587,114,
813,1600,115,
814,1613,116,
815,1625,116,
816,1637,115,
817,1649,114,
818,1661,117,
819,1673,115,
820,1685,115,
820,1698,117,
821,1710,117,
821,1722,118,
822,1735,115,
823,1747,117,
824,1759,115,
825,1771,117,
826,1783,118,
827,1795,118,
829,1807,117,
829,1819,119,
830,1831,119,
831,1843,118,
831,1855,117,
832,1868,117,
833,1880,116,
834,1892,117,
835,1904,119,
836,1916,119,
837,1928,119,
838,1940,119,
838,1952,119,
839,1964,121,
839,1977,118,
840,1990,120,
841,2002,118,
842,2014,117,
843,2026,119,
844,2038,121,
845,2050,121,
846,2062,119,
846,2075,118,
847,2088,119,
848,2100,118,
848,2112,121,
849,2125,116,
850,2137,118,
851,2149,118,
852,2161,121,
853,2173,117,
853,2186,120,
854,2198,119,
854,2211,119,
855,2224,119,
856,2236,118,
857,2248,119,
858,2260,119,
859,2272,117,
860,2284,120,
861,2296,119,
862,2308,119,
862,2321,117,
863,2334,120,
864,2346,123,
865,2358,120,
866,2370,120,
867,2382,120,
868,2394,119,
869,2406,120,
870,2418,121,
871,2430,120,
871,2442,121,
872,2455,119,
873,2467,119,
874,2479,120,
875,2491,118,
876,2503,119,
877,2515,123,
878,2527,122,
879,2539,117,
880,2551,119,
881,2563,120,
881,2576,121,
882,2588,120,
883,2600,120,
884,2612,122,
885,2624,119,
886,2636,118,
887,2648,118,
888,2660,119,
890,2672,118,
891,2684,120,
892,2696,120,
892,2709,119,
894,2721,121,
895,2733,121,
896,2745,120,
897,2757,120,
898,2769,120,
899,2781,121,
900,2793,118,
901,2805,122,
902,2817,122,
903,2829,118,
903,2842,121,
904,2855,117,
905,2867,120,
906,2879,119,
907,2891,119,
908,2903,120,
909,2915,118,
910,2927,121,
911,2939,124,
912,2951,117,
913,2963,121,
913,2976,118,
914,2989,120,
915,3001,124,
915,3013,117,
916,3026,118,
917,3038,119,
918,3050,122,
